靡ㄩ絏	虏嘿	るら	Μ絃基(じ)
COID	Name	MDATE	CLOSE
2303   	羛筿         	20140114	   10.35
2330   	縩筿       	20140114	   88.15
2408   	玭ㄈ       	20140114	   47.34
2357   	地河         	20140114	  214.05
3008   	ミ       	20140114	 1035.49
3481   	竤承         	20140114	    9.40
2412   	い地筿       	20140114	   72.73
2308   	笷筿       	20140114	  137.28
2327   	瓣エ         	20140114	   33.98
2317   	翬         	20140114	   65.21
2474   	Θ         	20140114	  173.23
1101   	猟         	20140115	   32.29
1216   	参         	20140115	   38.99
1301   	鹅         	20140115	   64.87
1402   	环狥穝       	20140115	   26.44
2002   	い葵         	20140115	   22.30
2105   	タ穝         	20140115	   62.76
2912   	参禬       	20140115	  159.87
9904   	腳Θ         	20140115	   34.58
6505   	鹅て       	20140115	   66.81
2303   	羛筿         	20140115	   10.43
2330   	縩筿       	20140115	   89.42
2408   	玭ㄈ       	20140115	   47.34
2357   	地河         	20140115	  212.20
3008   	ミ       	20140115	 1105.15
3481   	竤承         	20140115	    9.36
2412   	い地筿       	20140115	   72.73
2308   	笷筿       	20140115	  138.12
2327   	瓣エ         	20140115	   34.65
2317   	翬         	20140115	   66.00
2474   	Θ         	20140115	  177.57
1101   	猟         	20140116	   31.75
1216   	参         	20140116	   38.62
1301   	鹅         	20140116	   65.04
1402   	环狥穝       	20140116	   26.12
2002   	い葵         	20140116	   22.30
2105   	タ穝         	20140116	   62.60
2912   	参禬       	20140116	  157.40
9904   	腳Θ         	20140116	   35.24
6505   	鹅て       	20140116	   66.81
2303   	羛筿         	20140116	   10.43
2330   	縩筿       	20140116	   91.13
2408   	玭ㄈ       	20140116	   44.07
2357   	地河         	20140116	  211.84
3008   	ミ       	20140116	 1091.22
3481   	竤承         	20140116	    9.31
2412   	い地筿       	20140116	   72.73
2308   	笷筿       	20140116	  140.61
2327   	瓣エ         	20140116	   34.25
2317   	翬         	20140116	   66.48
2474   	Θ         	20140116	  176.27
1101   	猟         	20140117	   31.61
1216   	参         	20140117	   38.47
1301   	鹅         	20140117	   64.63
1402   	环狥穝       	20140117	   26.20
2002   	い葵         	20140117	   22.09
2105   	タ穝         	20140117	   63.00
2912   	参禬       	20140117	  159.05
9904   	腳Θ         	20140117	   35.36
6505   	鹅て       	20140117	   65.33
2303   	羛筿         	20140117	   10.47
2330   	縩筿       	20140117	   91.55
2408   	玭ㄈ       	20140117	   41.03
2357   	地河         	20140117	  211.10
3008   	ミ       	20140117	 1123.72
3481   	竤承         	20140117	    9.40
2412   	い地筿       	20140117	   72.73
2308   	笷筿       	20140117	  138.95
2327   	瓣エ         	20140117	   34.52
2317   	翬         	20140117	   66.40
2474   	Θ         	20140117	  176.27
1101   	猟         	20140120	   31.86
1216   	参         	20140120	   38.24
1301   	鹅         	20140120	   64.87
1402   	环狥穝       	20140120	   25.81
2002   	い葵         	20140120	   22.26
2105   	タ穝         	20140120	   63.88
2912   	参禬       	20140120	  160.28
9904   	腳Θ         	20140120	   35.15
6505   	鹅て       	20140120	   63.19
2303   	羛筿         	20140120	   10.51
2330   	縩筿       	20140120	   91.55
2408   	玭ㄈ       	20140120	   42.07
2357   	地河         	20140120	  212.57
3008   	ミ       	20140120	 1142.29
3481   	竤承         	20140120	    9.36
2412   	い地筿       	20140120	   72.58
2308   	笷筿       	20140120	  142.28
2327   	瓣エ         	20140120	   34.65
2317   	翬         	20140120	   67.51
2474   	Θ         	20140120	  180.17
1101   	猟         	20140121	   32.40
1216   	参         	20140121	   37.94
1301   	鹅         	20140121	   65.28
1402   	环狥穝       	20140121	   25.57
2002   	い葵         	20140121	   22.26
2105   	タ穝         	20140121	   63.80
2912   	参禬       	20140121	  161.52
9904   	腳Θ         	20140121	   34.37
6505   	鹅て       	20140121	   63.27
2303   	羛筿         	20140121	   10.51
2330   	縩筿       	20140121	   90.70
2408   	玭ㄈ       	20140121	   39.99
2357   	地河         	20140121	  211.84
3008   	ミ       	20140121	 1160.87
3481   	竤承         	20140121	    9.14
2412   	い地筿       	20140121	   72.66
2308   	笷筿       	20140121	  143.11
2327   	瓣エ         	20140121	   34.38
2317   	翬         	20140121	   66.95
2474   	Θ         	20140121	  179.74
1101   	猟         	20140122	   32.62
1216   	参         	20140122	   37.49
1301   	鹅         	20140122	   65.69
1402   	环狥穝       	20140122	   26.08
2002   	い葵         	20140122	   22.26
2105   	タ穝         	20140122	   63.40
2912   	参禬       	20140122	  165.23
9904   	腳Θ         	20140122	   35.24
6505   	鹅て       	20140122	   64.01
2303   	羛筿         	20140122	   10.47
2330   	縩筿       	20140122	   91.55
2408   	玭ㄈ       	20140122	   39.99
2357   	地河         	20140122	  215.53
3008   	ミ       	20140122	 1156.22
3481   	竤承         	20140122	    8.98
2412   	い地筿       	20140122	   72.66
2308   	笷筿       	20140122	  143.11
2327   	瓣エ         	20140122	   34.25
2317   	翬         	20140122	   66.72
2474   	Θ         	20140122	  182.78
